storage_day,replicate,tpc_log10,coliform_log10,yeast_mold_log10,psychrophilic_log10,colour_appearance,body_texture,flavour,overall_acceptability,ph,moisture_pct,mean_temperature,min_temperature,max_temperature,temperature_std,temperature_range,temperature_excursion_count,time_above_safe_threshold_ratio,mean_rh,min_rh,max_rh,rh_std,rh_range,compressor_on_ratio,compressor_cycle_count,fridge_open_count,fridge_open_ratio,spoilage_class,spoilage_status
10,5,5.113943352306837,1.0,1.7708520116421442,3.6020599913279625,,,,,5.11,49.41,4.010869565217392,2.3,5.7,0.9990346632370103,3.4000000000000004,66,0.4782608695652174,37.01086956521739,35.3,38.7,0.9990346632370104,3.4000000000000057,0.6376811594202898,3,1,0.007246376811594203,2,SPOILED
11,1,5.176091259055681,1.3424226808222062,1.9030899869919435,3.9030899869919438,,,,,5.09,48.9,4.0630434782608695,2.3,5.7,0.9850385181136887,3.4000000000000004,71,0.5144927536231884,37.063043478260866,35.3,38.7,0.9850385181136888,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,2,SPOILED
11,2,5.568201724066995,1.3222192947339193,1.7708520116421442,4.079181246047625,,,,,5.08,48.73,4.0630434782608695,2.3,5.7,0.9850385181136887,3.4000000000000004,71,0.5144927536231884,37.063043478260866,35.3,38.7,0.9850385181136888,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,2,SPOILED
11,3,5.431363764158987,1.0,1.6720978579357175,4.079181246047625,,,,,5.16,49.69,4.0630434782608695,2.3,5.7,0.9850385181136887,3.4000000000000004,71,0.5144927536231884,37.063043478260866,35.3,38.7,0.9850385181136888,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,2,SPOILED
11,4,5.414973347970818,1.3010299956639813,1.9030899869919435,4.204119982655925,,,,,5.11,49.14,4.0630434782608695,2.3,5.7,0.9850385181136887,3.4000000000000004,71,0.5144927536231884,37.063043478260866,35.3,38.7,0.9850385181136888,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,2,SPOILED
11,5,5.414973347970818,1.5314789170422551,1.8920946026904804,4.146128035678238,,,,,5.05,48.75,4.0630434782608695,2.3,5.7,0.9850385181136887,3.4000000000000004,71,0.5144927536231884,37.063043478260866,35.3,38.7,0.9850385181136888,3.4000000000000057,0.6304347826086957,3,1,0.007246376811594203,2,SPOILED
12,1,5.568201724066995,1.5185139398778875,1.6989700043360187,4.732393759822968,,,,,4.93,48.78,4.048175182481752,2.3,5.7,1.0215990178405145,3.4000000000000004,73,0.5328467153284672,37.04817518248176,35.3,38.7,1.0215990178405148,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,2,SPOILED
12,2,5.477121254719663,1.5314789170422551,2.0,4.623249290397901,,,,,5.01,48.87,4.048175182481752,2.3,5.7,1.0215990178405145,3.4000000000000004,73,0.5328467153284672,37.04817518248176,35.3,38.7,1.0215990178405148,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,2,SPOILED
12,3,5.672097857935717,1.3424226808222062,2.041392685158225,4.544068044350276,,,,,4.97,48.61,4.048175182481752,2.3,5.7,1.0215990178405145,3.4000000000000004,73,0.5328467153284672,37.04817518248176,35.3,38.7,1.0215990178405148,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,2,SPOILED
12,4,5.6020599913279625,1.5185139398778875,2.041392685158225,4.477121254719663,,,,,5.06,48.65,4.048175182481752,2.3,5.7,1.0215990178405145,3.4000000000000004,73,0.5328467153284672,37.04817518248176,35.3,38.7,1.0215990178405148,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,2,SPOILED
12,5,5.7558748556724915,1.6434526764861874,2.230448921378274,4.672097857935717,,,,,5.07,49.03,4.048175182481752,2.3,5.7,1.0215990178405145,3.4000000000000004,73,0.5328467153284672,37.04817518248176,35.3,38.7,1.0215990178405148,3.4000000000000057,0.6277372262773723,3,1,0.0072992700729927005,2,SPOILED
13,1,5.643452676486188,1.6020599913279623,2.3010299956639813,4.903089986991944,,,,,4.99,48.44,3.8028985507246373,2.3,5.7,0.9022469558930024,3.4000000000000004,55,0.39855072463768115,36.80289855072464,35.3,38.7,0.9022469558930025,3.4000000000000057,0.6086956521739131,2,1,0.007246376811594203,2,SPOILED
13,2,5.845098040014257,1.6532125137753437,2.361727836017593,5.113943352306837,,,,,4.98,49.17,3.8028985507246373,2.3,5.7,0.9022469558930024,3.4000000000000004,55,0.39855072463768115,36.80289855072464,35.3,38.7,0.9022469558930025,3.4000000000000057,0.6086956521739131,2,1,0.007246376811594203,2,SPOILED
13,3,5.7160033436347994,1.8129133566428555,2.0791812460476247,5.146128035678238,,,,,4.93,48.11,3.8028985507246373,2.3,5.7,0.9022469558930024,3.4000000000000004,55,0.39855072463768115,36.80289855072464,35.3,38.7,0.9022469558930025,3.4000000000000057,0.6086956521739131,2,1,0.007246376811594203,2,SPOILED
13,4,5.57978359661681,1.6812412373755872,2.230448921378274,5.146128035678238,,,,,4.98,48.56,3.8028985507246373,2.3,5.7,0.9022469558930024,3.4000000000000004,55,0.39855072463768115,36.80289855072464,35.3,38.7,0.9022469558930025,3.4000000000000057,0.6086956521739131,2,1,0.007246376811594203,2,SPOILED
13,5,5.832508912706237,1.7853298350107671,2.2041199826559246,5.113943352306837,,,,,4.97,48.26,3.8028985507246373,2.3,5.7,0.9022469558930024,3.4000000000000004,55,0.39855072463768115,36.80289855072464,35.3,38.7,0.9022469558930025,3.4000000000000057,0.6086956521739131,2,1,0.007246376811594203,2,SPOILED
